"country","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Hungary",84.6,74.5,15,12.2,32789,0.502260385422268
"Argentina",84.2,75.4,17.9,11.1,20925,1.49336130271972
"Türkiye",83.8,76,18.3,8.6,31033,1.63006487751937
"Montenegro",83.2,76.3,15.1,12.2,20839,0.53643627912218
"Kuwait",83.1,78.7,15.3,7.3,52920,0.604788066522004
"Brunei Darussalam",82.9,74.6,14,9.2,64490,0.160501448423147
"Russian Federation",82.2,69.4,15.8,12.8,27166,0.775667535021564
"Romania",82.1,74.2,14.2,11.3,30027,0.228853235822971
"Oman",81.6,72.5,14.6,11.7,27054,0.36555681062262
"Bahamas",81.2,71.6,12.9,12.6,30486,-0.215433382275885
"Kazakhstan",81.1,69.4,15.8,12.3,23943,0.775667535021564
"Trinidad and Tobago",81,73,14.5,11.6,23392,0.331380916922708
"Costa Rica",80.9,77,16.5,8.8,19974,1.01489879092095
"Uruguay",80.9,75.4,16.8,9,21269,1.11742647202069
"Belarus",80.8,72.4,15.2,12.1,18849,0.570612172822092
"Panama",80.5,76.2,13.1,10.5,26957,-0.147081594876061
"Malaysia",80.3,74.9,13.3,10.6,26658,-0.0787298074762367
"Georgia",80.2,71.7,15.6,12.8,14664,0.70731574762174
"Mauritius",80.2,73.6,15.2,10.4,22025,0.570612172822092
"Serbia",80.2,74.2,14.4,11.4,19123,0.297205023222796
"Thailand",80,78.7,15.9,8.7,17030,0.809843428721476
"Albania",79.6,76.5,14.4,11.3,14131,0.297205023222796
"Bulgaria",79.5,71.8,13.9,11.4,23079,0.126325554723235
"Grenada",79.5,74.9,18.7,9,13484,1.76676845231901
"Barbados",79,77.6,15.7,9.9,12306,0.741491641321652
"Antigua and Barbuda",78.8,78.5,14.2,9.3,16792,0.228853235822971
"Seychelles",78.5,71.3,13.9,10.3,25831,0.126325554723235
"Sri Lanka",78.2,76.4,14.1,10.8,12578,0.194677342123059
"Bosnia and Herzegovina",78,75.3,13.8,10.5,15242,0.0921496610233235
"Saint Kitts and Nevis",77.7,71.7,15.4,8.7,23358,0.638963960221916
"Iran (Islamic Republic of)",77.4,73.9,14.6,10.6,13001,0.36555681062262
"Ukraine",77.3,71.6,15,11.1,13256,0.502260385422268
"North Macedonia",77,73.8,13.6,10.2,15918,0.023797873623499
"China",76.8,78.2,14.2,7.6,17504,0.228853235822971
"Dominican Republic",76.7,72.6,14.5,9.3,17990,0.331380916922708
"Moldova (Republic of)",76.7,68.8,14.4,11.8,14875,0.297205023222796
"Palau",76.7,66,15.8,12.5,13819,0.775667535021564
"Cuba",76.4,73.7,14.4,12.5,7879,0.297205023222796
"Peru",76.2,72.4,15.4,9.9,12246,0.638963960221916
"Armenia",75.9,72,13.1,11.3,13158,-0.147081594876061
"Mexico",75.8,70.2,14.9,9.2,17896,0.468084491722356
