"year","age","racehisp","degree","eqwlth","conlegis"
2010,20,"Hispanic","High School",3,"Only Some"
2010,31,"Hispanic","Less Than High School",NA,NA
2010,60,"White","High School",NA,NA
2010,35,"Hispanic","High School",3,"Hardly Any"
2010,20,"White","High School",3,"A Great Deal"
2010,33,"Hispanic","High School",NA,NA
2010,33,"Hispanic","Less Than High School",1,"Hardly Any"
2010,19,"Hispanic","High School",3,"Only Some"
2010,39,"White","Junior College",NA,NA
2010,21,"Black","High School",4,"Only Some"
2010,23,"Black","Less Than High School",5,"A Great Deal"
2010,23,"Black","High School",2,"Hardly Any"
2010,63,"Black","High School",4,"A Great Deal"
2010,31,"Hispanic","High School",NA,NA
2010,86,"White","High School",5,"Hardly Any"
2010,25,"Hispanic","High School",4,"Only Some"
2010,61,"White","Bachelor",7,"Hardly Any"
2010,63,"White","Bachelor",7,"Hardly Any"
2010,39,"White","Bachelor",5,"Only Some"
2010,61,"Hispanic","High School",1,"Only Some"
2010,47,"White","Graduate",3,"Only Some"
2010,50,"Black","High School",1,"Hardly Any"
2010,37,"White","Bachelor",NA,NA
2010,50,"Hispanic","Junior College",5,"Only Some"
2010,50,"White","Graduate",5,"A Great Deal"
2010,25,"Other","Less Than High School",NA,NA
2010,40,"Hispanic","Less Than High School",1,"A Great Deal"
2010,56,"White","Less Than High School",NA,NA
2010,49,"White","High School",NA,NA
2010,68,"White","Bachelor",7,"Hardly Any"
2010,53,"White","Junior College",NA,NA
2010,59,"White","High School",5,"Only Some"
2010,66,"White","High School",NA,NA
2010,59,"White","High School",7,"Only Some"
2010,49,"White","Graduate",4,"Hardly Any"
2010,70,"White","Bachelor",NA,NA
2010,53,"White","Bachelor",NA,NA
2010,31,"White","High School",4,"Only Some"
2010,36,"Other","High School",3,"Only Some"
2010,84,"White","Graduate",7,"Hardly Any"
2010,62,"White","Bachelor",NA,NA
2010,71,"White","Less Than High School",6,"Hardly Any"
2010,41,"White","High School",4,"Only Some"
2010,56,"White","High School",5,"Only Some"
2010,44,"White","Graduate",7,"Only Some"
2010,89,"White","High School",NA,NA
2010,26,"White","High School",NA,NA
2010,39,"White","Bachelor",6,"Hardly Any"
2010,41,"White","Graduate",4,"Only Some"
2010,25,"Black","High School",1,"Only Some"
2010,64,"Black","Junior College",5,"Only Some"
2010,55,"Black","Bachelor",NA,NA
2010,21,"Black","High School",4,"A Great Deal"
2010,21,"Black","High School",2,"Only Some"
2010,41,"White","High School",2,"Hardly Any"
2010,51,"White","Graduate",NA,NA
2010,44,"White","Bachelor",7,"Hardly Any"
2010,35,"White","High School",5,"Hardly Any"
2010,47,"Black","Junior College",5,"Only Some"
2010,41,"Black","High School",5,"Only Some"
2010,65,"White","Graduate",7,"Hardly Any"
2010,34,"White","Graduate",7,"Hardly Any"
2010,26,"White","High School",NA,NA
2010,41,"Black","Graduate",1,"Hardly Any"
2010,39,"Black","Bachelor",3,"Only Some"
2010,66,"White","Bachelor",NA,NA
2010,32,"White","Bachelor",NA,NA
2010,56,"White","High School",5,"Only Some"
2010,43,"Hispanic","Bachelor",4,"Only Some"
2010,48,"White","Bachelor",NA,NA
2010,29,"Hispanic","Less Than High School",1,"Only Some"
2010,NA,"Black","Junior College",NA,NA
2010,33,"Hispanic","High School",7,"Hardly Any"
2010,54,"White","Graduate",5,"Only Some"
2010,24,"White","High School",2,"Hardly Any"
2010,47,"White","Bachelor",7,"Only Some"
2010,54,"Hispanic","Less Than High School",1,"Only Some"
2010,29,"Black","High School",NA,NA
2010,37,"White","Bachelor",5,"Only Some"
2010,43,"Hispanic","Less Than High School",NA,NA
2010,29,"Hispanic","Less Than High School",4,"Hardly Any"
2010,56,"Hispanic","High School",5,"Hardly Any"
2010,33,"Hispanic","High School",NA,NA
2010,31,"Hispanic","Less Than High School",1,"Only Some"
2010,27,"Black","High School",NA,NA
2010,33,"Hispanic","High School",4,"Hardly Any"
2010,31,"Hispanic","Less Than High School",1,"Only Some"
2010,81,"White","High School",6,"Only Some"
2010,78,"White","High School",7,"Hardly Any"
2010,58,"White","High School",NA,NA
2010,89,"White","High School",5,"Hardly Any"
2010,88,"White","Bachelor",NA,NA
2010,18,"Hispanic","Less Than High School",6,"Hardly Any"
2010,40,"White","High School",7,"Hardly Any"
2010,69,"White","High School",NA,NA
2010,74,"White","High School",3,"Only Some"
2010,58,"White","Graduate",NA,NA
2010,79,"White","Junior College",5,"Hardly Any"
2010,58,"White","High School",NA,NA
2010,62,"White","High School",1,"Only Some"
2010,64,"White","High School",NA,NA
2010,23,"White","Less Than High School",NA,"Hardly Any"
2010,31,"White","High School",3,"Hardly Any"
2010,65,"Hispanic","High School",7,"Only Some"
2010,62,"White","Bachelor",2,"Only Some"
2010,46,"White","High School",7,"Hardly Any"
2010,54,"White","High School",5,"Hardly Any"
2010,63,"Hispanic","High School",NA,NA
2010,44,"White","Junior College",NA,NA
