"country","gender_inequality_index","maternal_mortality_ratio","adolescent_birth_rate","parliament_female","secondary_educ_female","secondary_educ_male","labor_force_participation_female","labor_force_participation_male","life_expectancy_female","life_expectancy_male","schooling_expected_female","schooling_expected_male","schooling_mean_female","schooling_mean_male","gni_per_capita_female","gni_per_capita_male","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Jamaica",33.5,80,32.8,31,74.3,66.4,56.1,70,72.5,68.5,13.7,13.1,9.7,8.5,6982,10715,70.9,70.5,13.4,9.2,8834,-0.0841597620467613
"Samoa",41.8,43,43.6,7.8,79.1,71.6,30.7,54.2,75.5,70.3,13,11.9,11.8,11,3223,7312,70.7,72.8,12.4,11.4,5308,-0.427257113316533
"Gabon",54.1,252,91.2,18.7,67.2,84,39.1,57,68.5,63.5,12.6,13.4,7.8,10.5,9376,17212,70.6,65.8,13,9.4,13367,-0.22139870255467
"Lebanon",43.2,29,20.3,4.7,54.3,55.6,20.8,64.3,77.3,72.8,11.1,11.5,8.5,8.9,3815,15586,70.6,75,11.3,8.7,9526,-0.804664199713282
"Indonesia",44.4,177,33.9,21,51,58.2,53.7,81.7,69.7,65.5,13.8,13.7,8.2,8.9,7906,14976,70.5,67.6,13.7,8.6,11466,0.0187694433341699
"Viet Nam",29.6,43,34.6,30.3,61.3,69.6,69.6,79.4,78.2,69.1,13.2,12.7,8,8.7,6932,8826,70.3,73.6,13,8.4,7867,-0.22139870255467
"Philippines",41.9,121,48.2,28,73.4,69.1,43.8,68.3,71.5,67.2,13.5,12.8,9.2,8.7,7487,10311,69.9,69.3,13.1,9,8920,-0.187088967427693
"Botswana",46.8,144,49.3,10.8,91.3,91.8,56.3,65.1,63.6,58.7,12.4,12.2,10.3,10.4,13839,18618,69.3,61.1,12.3,10.3,16198,-0.46156684844351
"Bolivia (Plurinational State of)",41.8,155,63.8,48.2,60.1,69.7,68.3,83.8,66.8,60.9,14.9,15,9.2,10.5,6856,9359,69.2,63.6,14.9,9.8,8111,0.430486264857896
"Kyrgyzstan",37,60,34.7,20.5,100,99.8,42.1,71.7,74.4,65.8,13.4,13,11.6,11.1,2863,6331,69.2,70,13.2,11.4,4566,-0.152779232300716
"Venezuela (Bolivarian Republic of)",49.2,125,82.7,22.2,79.8,75.4,34.3,67.8,75.2,66.3,13.8,11.8,11.4,10.8,2866,6796,69.1,70.6,12.8,11.1,4811,-0.290018172808624
"Iraq",55.8,79,62.2,28.9,42,52.9,11.1,71.8,72.4,68.2,11.5,12.7,7.2,8.4,2184,17748,68.6,70.4,12.1,7.9,9977,-0.530186318697465
"Tajikistan",28.5,17,45.4,23.4,93.5,94.6,30.2,50.5,73.7,69.6,11.2,12.1,10.9,11.8,2980,6096,68.5,71.6,11.7,11.3,4548,-0.667425259205374
"Belize",36.4,36,57.1,19.6,54.5,49.8,46.9,76.8,74.3,67.1,13.3,12.7,9,8.7,4249,8345,68.3,70.5,13,8.8,6309,-0.22139870255467
"Morocco",42.5,70,25.9,20.4,30.9,37.1,22,66,76.4,71.9,13.9,14.4,5,6.9,3194,11356,68.3,74,14.2,5.9,7303,0.190318118969056
"El Salvador",37.6,46,55.9,27.4,42.7,51.4,43.6,72.6,75.1,66.1,12.7,12.6,6.8,7.6,5824,11015,67.5,70.7,12.7,7.2,8296,-0.324327907935602
"Nicaragua",42.4,98,85.6,50.5,51.2,49.7,46.8,81.3,76.8,70.8,12.7,12.6,7.4,6.8,3646,7661,66.7,73.8,12.6,7.1,5625,-0.358637643062579
"Bhutan",41.5,183,19,16.7,23.6,32.3,51.6,67.4,73.8,70.1,13.6,12.8,4.5,5.8,6671,11896,66.6,71.8,13.2,5.2,9438,-0.152779232300716
"Cabo Verde",34.9,58,55.2,38.9,28.8,31.2,46.9,61.7,78.5,69.6,12.8,12.3,6,6.6,4682,7796,66.2,74.1,12.6,6.3,6230,-0.358637643062579
"Bangladesh",53,173,75.5,20.9,50.6,58.5,34.9,78.8,74.3,70.6,13,11.9,6.8,8,2811,8176,66.1,72.4,12.4,7.4,5472,-0.427257113316533
"India",49,133,17.2,13.4,41.8,53.8,19.2,70.1,68.9,65.8,11.9,11.8,6.3,7.2,2277,10633,63.3,67.2,11.9,6.7,6590,-0.598805788951419
"Ghana",52.9,308,64.2,14.5,58,73.2,64.5,72.2,66,61.6,12.1,12,7.8,9,4723,6771,63.2,63.8,12,8.3,5745,-0.564496053824442
"Guatemala",48.1,95,64.1,19.4,29.5,35.8,37.4,80.3,72.7,66,10.5,10.6,5.2,6.2,4909,12614,62.7,69.2,10.6,5.7,8723,-1.04483234560212
"Honduras",43.1,65,72,27.3,35.8,44.8,42.3,78.9,72.5,67.9,10.4,9.9,6.8,7.4,4271,6304,62.1,70.1,10.1,7.1,5298,-1.21638102123701
"Sao Tome and Principe",49.4,130,79.4,23.6,39.9,48.4,37.1,69.9,70.4,65.2,13.5,13.3,5.6,6.8,2415,5635,61.8,67.6,13.4,6.2,4021,-0.0841597620467613
"Namibia",44.5,195,64.9,35.6,41.5,44.1,54.5,62.2,63,55.7,11.9,11.9,7.5,6.9,7271,10094,61.5,59.3,11.9,7.2,8634,-0.598805788951419
"Lao People's Democratic Republic",47.8,185,73.2,22,37.7,47.7,74.8,78.1,70.1,66.2,9.9,10.3,5,5.8,6757,8627,60.7,68.1,10.1,5.4,7700,-1.21638102123701
"Timor-Leste",37.8,142,33.9,38.5,33.7,41.8,61,72.2,69.5,66.1,12.2,13,4.7,6.2,3642,5248,60.7,67.7,12.6,5.4,4461,-0.358637643062579
"Nepal",45.2,186,63.8,33.6,28.8,44.7,78.7,80.8,70.4,66.6,12.9,12.8,4.2,6.2,3677,4095,60.2,68.4,12.9,5.1,3877,-0.255708437681647
"Eswatini (Kingdom of)",54,437,69.9,18.4,34,36.2,45.6,53.6,61.2,53.4,13.2,14.2,5.7,5.5,6384,8993,59.7,57.1,13.7,5.6,7679,0.0187694433341699
"Cambodia",46.1,160,45.5,19.8,18.3,31.7,74,85.9,72.3,66.8,11,11.9,4.4,5.9,3464,4706,59.3,69.6,11.5,5.1,4079,-0.736044729459328
"Zimbabwe",53.2,458,94.3,34.6,61.8,72.4,79.3,88.9,62,56.2,12,12.3,8.3,9.2,3286,4397,59.3,59.3,12.1,8.7,3810,-0.530186318697465
"Angola",53.7,241,138.4,29.5,28.2,51.5,74,79.1,64.3,59,11.5,12.9,4.2,6.9,4751,6197,58.6,61.6,12.2,5.4,5466,-0.495876583570488
