"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
54,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
70,"Native","Not Very Important","Not Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
28,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,"Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important",NA,NA,1,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Important At All",NA,1,0
52,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
74,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important",NA,"Not Very Important",NA,0,0
29,"Native","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
56,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Not Very Important","Not Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
68,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Very Important","Not Very Important",NA,0,0
37,"Immigrant","Essential","Essential","Essential","Essential","Not Important At All","Fairly Important","Not Important At All",5,1,1
45,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
77,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Fairly Important","Fairly Important","Very Important",NA,0,0
NA,"Native","Not Very Important","Not Very Important","Not Very Important","Not Important At All","Not Very Important","Not Very Important","Not Very Important",NA,0,0
69,"Native","Not Important At All","Not Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native","Very Important","Very Important","Essential","Fairly Important","Very Important","Not Very Important","Fairly Important",NA,0,1
NA,"Native","Not Very Important","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
26,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Native","Fairly Important","Essential","Essential","Essential","Very Important","Very Important","Not Very Important",NA,1,1
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Fairly Important",NA,0,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Native","Not Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Important At All","Not Important At All",NA,0,0
42,"Native","Not Very Important","Fairly Important","Essential","Not Important At All","Not Important At All","Essential","Not Very Important",NA,0,0
19,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native","Not Important At All","Not Important At All","Essential","Not Important At All","Not Important At All","Not Important At All","Essential",NA,1,0
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
46,"Native","Very Important","Fairly Important","Fairly Important","Very Important","Very Important","Not Important At All","Very Important",NA,0,0
33,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Very Important",NA,1,0
62,"Native","Not Very Important","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
54,"Immigrant",NA,NA,NA,NA,NA,NA,NA,42,NA,NA
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,0,0
35,"Native","Essential","Fairly Important","Fairly Important","Essential","Not Important At All","Very Important","Not Very Important",NA,0,1
51,"Immigrant","Very Important","Essential","Essential","Not Very Important","Fairly Important","Not Very Important","Fairly Important",44,1,0
34,"Native","Fairly Important","Not Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Native","Not Important At All","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Very Important","Not Important At All",NA,1,1
