"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
25601,"Carbondale","IL",265022,42.8,1,0.082,0.218,0.05,0.062,0.038,0.418,28913,0.397,9.027,0.014,1606,4.463,3.485,-0.004,0.011,0.017,0.572,0.123,0.01,0.009,0.02,0.629,0.524,NA,0.218,0.104,0.559,-0.008,NA,"Carbondale, IL"
39302,"Bellingham","WA",166814,44.1,1,0.006,0.057,0.046,0.051,0.042,0.418,35491,0.416,12.245,0.021,2615,5.912,5.12,NA,0.024,0.186,0.665,0.122,0.034,0.028,0.098,0.063,0.294,0.001,0.195,0.099,0.538,-0.007,NA,"Bellingham, WA"
3002,"Yazoo City","MS",39355,34.8,1,0.585,0.138,0.025,0.021,0.038,0.417,22600,0.605,17.47,0.016,1809,4.664,-23.049,0.041,NA,NA,0.503,0.199,0.011,0.017,0.031,-0.351,0.446,0.002,0.401,0.079,0.404,-0.022,NA,"Yazoo City, MS"
14000,"Muncie","IN",415487,38,1,0.058,0.216,0.062,0.06,0.063,0.417,34884,0.384,10.075,0.019,1858,6.655,-3.912,NA,0.022,0.127,0.621,0.239,0.011,0.015,0.011,0.654,0.352,0.001,0.229,0.115,0.569,-0.022,NA,"Muncie, IN"
1201,"Franklin","NC",44861,41.2,0,0.01,0.044,0.011,0.009,0.011,0.416,37261,0.516,20.552,0.024,1434,5.199,4.11,0.034,NA,NA,0.558,0.158,0.012,0.01,0.031,-0.234,0.613,0.002,0.166,0.103,0.624,0.009,NA,"Franklin, NC"
5300,"West Memphis","AR",138746,35.2,1,0.471,0.199,0.045,0.046,0.052,0.416,25942,0.458,8.066,0.015,1540,4.632,-14.367,0.024,0.022,-0.183,0.549,0.158,0.011,0.017,0.009,-1.195,0.476,0.002,0.368,0.097,0.513,-0.014,NA,"West Memphis, AR"
18500,"Amsterdam","NY",110160,43.4,0,0.013,0.13,0.027,0.031,0.026,0.416,32624,0.369,7.015,0.038,2988,9.628,2.667,-0.007,0.009,-0.078,0.595,0.189,0.014,0.012,0.025,0.683,0.57,0.001,0.231,0.092,0.54,0.006,NA,"Amsterdam, NY"
25102,"West Plains","MO",90551,44,0,0.002,0.016,0.011,0.01,0.011,0.416,26979,0.412,9.392,0.008,1252,4.706,2.757,-0.014,0.011,-0.006,0.554,0.204,0.011,0.013,0.01,0.122,0.524,0.001,0.184,0.101,0.633,-0.012,NA,"West Plains, MO"
3400,"Houma","LA",271365,44,1,0.199,0.177,0.04,0.034,0.043,0.414,28094,0.486,13.738,0.026,2350,4.086,-11.857,0.038,0.015,0.008,0.569,0.113,0.009,0.012,0.015,-1.247,0.737,0.003,0.214,0.091,0.558,0.01,NA,"Houma, LA"
18900,"Williamsport","PA",227275,47.1,1,0.025,0.162,0.031,0.033,0.026,0.414,31689,0.382,10.051,0.021,1848,6.937,4.766,-0.007,0.018,0.166,0.606,0.238,0.01,0.011,0.011,0.279,0.449,0.001,0.197,0.093,0.575,-0.006,NA,"Williamsport, PA"
