"name","public","tier","test_band_tier","par_income_lab","rel_attend_sat","rel_attend","par_top1pc","par_q1","par_q2","par_q3","par_q4","par_q5","par_median"
"Colby College","Private","Other elite schools (public and private)","NESCAC","Top 1",3.6214027,10.47447,0.20441216,0.019823959,0.044146247,0.047103174,0.13380142,0.75512522,236100
"Colgate University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",4.1490998,12.155192,0.22618324,0.025321897,0.038767971,0.072272316,0.090600356,0.77303743,270200
"College Of The Holy Cross","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.8639469,5.9733829,0.13114452,0.041337401,0.053341955,0.060599707,0.13255584,0.71216524,170700
"College Of William & Mary","Public","Other elite schools (public and private)","Other Top 100 Public","Top 1",1.1512719,3.8177896,0.064767957,0.019473299,0.029384973,0.072198927,0.14539674,0.73354602,176400
"Colorado School Of Mines","Public","Highly selective public","Other Top 100 Public","Top 1",0.83767265,2.3695884,0.029686613,0.032381859,0.05237709,0.10939638,0.23907387,0.56677079,122100
"Columbia University In The City Of New York","Private","Ivy Plus","Ivy Plus","Top 1",1.552302,7.1344371,0.13417278,0.050722204,0.05985152,0.10080864,0.16873179,0.61988592,150900
"Connecticut College","Private","Other elite schools (public and private)","NESCAC","Top 1",3.9524255,7.0393877,0.18006459,0.037740059,0.044363569,0.065537848,0.12197498,0.73038357,197800
"Cornell University","Private","Ivy Plus","Ivy Plus","Top 1",1.4440274,5.9951544,0.10454253,0.038381681,0.058287051,0.098954454,0.16345432,0.64092249,151600
"Dartmouth College","Private","Ivy Plus","Ivy Plus","Top 1",2.5933068,12.395867,0.20691085,0.025454897,0.04223853,0.076420642,0.16332217,0.69256389,200400
"Davidson College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",3.2252445,9.8685522,0.17438678,0.037057832,0.044992667,0.081684597,0.13784501,0.69841987,213900
"Duke University","Private","Ivy Plus","Ivy Plus","Top 1",2.3895047,11.799696,0.19200644,0.038507797,0.052187517,0.074284852,0.14515315,0.68986666,186700
"Elon University","Private","Highly selective private","Other Top 100 Private","Top 1",4.9890318,7.5963583,0.13976023,0.016483014,0.022200283,0.053585418,0.11838028,0.78935099,208300
"Emory University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.5833361,7.3926058,0.14870055,0.060102578,0.098690927,0.11818139,0.14251631,0.58050883,139800
"Florida State University","Public","Selective public","Other Top 100 Public","Top 1",1.1496804,1.2754267,0.025033992,0.052806534,0.07882183,0.13377869,0.22456858,0.51002449,112600
"Fordham University","Private","Highly selective private","Other Top 100 Private","Top 1",2.158716,4.4660382,0.080372334,0.053413786,0.073790893,0.079011701,0.15100448,0.64277911,151800
