"id","year","hrs1","class","region","racehisp"
674,2012,50,"Middle","Midwest","White"
675,2012,42,"Working","Midwest","White"
679,2012,50,"Middle","West","White"
680,2012,20,"Working","West","Hispanic"
681,2012,40,"Working","West","Hispanic"
682,2012,32,"Working","West","Black"
683,2012,50,"Working","West","Hispanic"
685,2012,60,"Middle","West","Other"
687,2012,40,"Middle","West","Hispanic"
689,2012,89,"Middle","West","White"
691,2012,42,"Working","West","Hispanic"
692,2012,50,"Middle","West","White"
693,2012,60,"Middle","West","White"
696,2012,60,"Middle","West","Hispanic"
697,2012,45,"Middle","West","Hispanic"
699,2012,16,"Working","West","White"
700,2012,40,"Middle","West","White"
705,2012,35,"Upper","West","White"
706,2012,48,"Working","West","White"
708,2012,52,"Middle","Midwest","White"
712,2012,41,"Middle","Midwest","White"
713,2012,40,"Working","Midwest","White"
714,2012,34,"Working","Midwest","White"
718,2012,40,"Middle","Midwest","White"
719,2012,30,"Lower","Midwest","White"
723,2012,40,"Working","Midwest","White"
724,2012,4,"Lower","Midwest","White"
725,2012,45,"Working","Midwest","White"
727,2012,40,"Middle","Midwest","White"
728,2012,8,"Working","Midwest","White"
729,2012,45,"Working","Midwest","White"
734,2012,35,"Middle","Midwest","White"
738,2012,30,"Working","Midwest","White"
739,2012,46,"Working","Midwest","White"
740,2012,45,"Working","Midwest","White"
741,2012,20,"Working","Midwest","White"
742,2012,40,"Middle","Midwest","Other"
744,2012,42,"Working","Midwest","White"
745,2012,20,"Middle","Midwest","White"
747,2012,60,"Middle","Midwest","White"
748,2012,36,"Middle","Midwest","White"
749,2012,32,"Working","Midwest","White"
750,2012,40,"Working","Midwest","White"
752,2012,8,"Middle","South","White"
754,2012,65,"Middle","South","White"
757,2012,35,"Middle","South","White"
759,2012,36,"Working","South","Black"
760,2012,36,"Middle","South","Other"
761,2012,80,"Working","South","Black"
762,2012,40,"Working","South","White"
763,2012,32,"Working","South","Hispanic"
765,2012,40,"Middle","South","White"
767,2012,60,"Middle","South","White"
768,2012,70,"Working","South","White"
769,2012,70,"Working","South","Black"
770,2012,48,"Working","South","Hispanic"
771,2012,20,"Working","South","Hispanic"
772,2012,30,"Working","South","Hispanic"
773,2012,37,"Working","South","Hispanic"
775,2012,30,"Working","South","Hispanic"
776,2012,42,"Working","South","Hispanic"
777,2012,40,"Working","South","Other"
778,2012,39,"Working","South","Black"
780,2012,60,"Middle","South","White"
781,2012,37,"Upper","South","White"
782,2012,50,"Working","South","White"
784,2012,48,"Middle","South","White"
785,2012,80,"Middle","South","White"
787,2012,40,"Middle","West","White"
790,2012,40,"Middle","West","White"
792,2012,50,"Working","West","White"
795,2012,38,"Working","West","White"
797,2012,40,"Middle","West","Other"
798,2012,20,"Working","West","Hispanic"
800,2012,20,"Working","West","Hispanic"
801,2012,40,"Working","West","White"
805,2012,40,"Middle","Middle Atlantic","Other"
810,2012,60,"Working","Middle Atlantic","Black"
811,2012,44,"Working","Middle Atlantic","Black"
813,2012,20,"Middle","Middle Atlantic","White"
815,2012,50,"Middle","Middle Atlantic","White"
816,2012,50,"Middle","Middle Atlantic","White"
818,2012,55,"Working","Middle Atlantic","White"
821,2012,40,"Working","Middle Atlantic","White"
822,2012,40,"Working","Middle Atlantic","White"
826,2012,50,"Middle","South","White"
827,2012,60,"Working","South","White"
829,2012,35,"Working","South","Black"
830,2012,46,"Working","South","Black"
832,2012,40,"Middle","South","Black"
833,2012,16,"Middle","South","White"
836,2012,43,"Middle","South","White"
838,2012,20,"Lower","South","White"
840,2012,50,"Working","South","White"
842,2012,35,"Middle","South","White"
844,2012,40,"Working","South","White"
846,2012,40,"Middle","South","White"
847,2012,40,"Working","Midwest","White"
849,2012,70,"Working","Midwest","White"
851,2012,40,"Working","Midwest","White"
852,2012,40,"Working","Midwest","White"
853,2012,52,"Working","Midwest","White"
854,2012,40,"Middle","Midwest","White"
857,2012,30,"Middle","Midwest","White"
858,2012,40,"Working","Midwest","White"
862,2012,48,"Lower","Midwest","White"
865,2012,30,"Working","Midwest","Black"
867,2012,40,"Middle","Midwest","White"
868,2012,40,"Middle","Midwest","White"
869,2012,20,"Working","Midwest","White"
870,2012,57,"Working","Midwest","Hispanic"
871,2012,16,"Middle","Midwest","Hispanic"
873,2012,30,"Working","Midwest","White"
874,2012,40,"Middle","Midwest","Hispanic"
876,2012,20,"Working","Midwest","Hispanic"
878,2012,40,"Working","Midwest","Hispanic"
881,2012,40,"Middle","Midwest","White"
882,2012,40,"Working","Midwest","Black"
883,2012,39,"Working","Midwest","Hispanic"
884,2012,40,"Working","Midwest","Hispanic"
885,2012,40,"Working","Midwest","Hispanic"
886,2012,34,"Working","Midwest","White"
887,2012,40,"Working","Midwest","White"
888,2012,55,"Working","Midwest","White"
889,2012,40,"Middle","Midwest","White"
891,2012,10,"Middle","Midwest","White"
892,2012,40,"Working","Midwest","Black"
893,2012,50,"Middle","Midwest","White"
894,2012,45,"Middle","Midwest","White"
895,2012,60,"Middle","Midwest","White"
896,2012,40,"Middle","Midwest","Black"
900,2012,47,"Middle","Midwest","White"
903,2012,40,"Working","Midwest","White"
906,2012,49,"Working","Midwest","White"
908,2012,40,"Working","Midwest","White"
910,2012,44,"Working","Midwest","White"
912,2012,30,"Working","Midwest","Black"
